Name,Variable,Units,Timestamp,Flagged as Suspect Reading,Value
PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-13 03:16:00,False,16.122
PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 12:46:00,False,5.19
PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 00:30:00,False,0.08875
PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 12:46:00,False,13.845
PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 00:30:00,False,1.76
PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 12:46:00,False,26.346
PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 12:46:00,False,10.727
PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 00:31:00,False,2.69
PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 12:46:00,False,10.323
PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 12:46:00,False,34.484840000000005
PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 00:31:00,False,1.81
PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-13 03:17:00,True,-3.985
PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 12:46:00,False,7.5225
PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 00:31:00,False,3.859
PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 12:46:00,False,3.6
PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 12:47:00,False,21.49625
PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 00:31:00,False,13.319
PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 12:47:00,False,32.488279999999996
PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 00:31:00,False,2.279
PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 12:47:00,False,14.257
PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 12:47:00,False,2.25
PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 00:31:00,False,22.18212
PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-13 03:17:00,False,11.8816
PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 12:47:00,False,10.992
PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 00:31:00,False,2.22625
PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 12:47:00,False,21.340999999999998
PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 12:47:00,False,5.2
PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 00:31:00,False,20.182000000000002
PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 12:47:00,False,13.465
PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 00:32:00,False,6.49125
PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 12:48:00,False,20.415
PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 12:48:00,False,40.03836
PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 00:32:00,False,21.768520000000002
PER_AIRMON_MESH1976150,O3,ppb,2018-12-13 03:17:00,False,26.933000000000003
PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 12:48:00,False,6.419
PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 00:32:00,False,17.285999999999998
PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 12:48:00,False,1.8
PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 00:32:00,False,1.36
PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 12:48:00,False,10.408
PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 12:48:00,False,17.947
PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 00:32:00,False,2.12
PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 12:48:00,False,3.97
PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 00:32:00,False,8.314
PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 12:48:00,False,11.599
PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 12:49:00,False,7.5225
PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-13 03:17:00,False,6.297000000000001
PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 12:49:00,False,40.98024
PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 00:32:00,False,3.41
PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 12:49:00,False,7.031000000000001
PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 00:32:00,False,1.64
PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 12:49:00,False,2.84
PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 00:33:00,True,-3.72875
PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 12:49:00,False,11.152000000000001
PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 12:49:00,False,24.118000000000002
PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 00:33:00,False,23.582720000000002
PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-13 03:17:00,False,22.291
PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 12:49:00,False,5.49
PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 00:33:00,False,18.521
