Sr No,Sensor,Name,Variable,Units,Timestamp,Value,Flagged as Suspect Reading

1586958692652188245,sensor03,PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-13 03:16:00,16.122,False
1586958692652348737,sensor01,PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 12:46:00,5.19,False
1586958692652681524,sensor02,PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 00:30:00,0.08875,False
1586958692653617146,sensor01,PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 12:46:00,13.845,False
1586958692655668348,sensor02,PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 00:30:00,1.76,False
1586958692655922803,sensor01,PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 12:46:00,26.346,False
1586958692657069871,sensor01,PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 12:46:00,10.727,False
1586958692657701341,sensor02,PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 00:31:00,2.69,False
1586958692659463186,sensor01,PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 12:46:00,10.323,False
1586958692660340027,sensor01,PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 12:46:00,34.48484,False
1586958692660537444,sensor02,PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 00:31:00,1.81,False
1586958692661949638,sensor03,PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-13 03:17:00,-3.985,True
1586958692662844363,sensor01,PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 12:46:00,7.5225,False
1586958692663409718,sensor02,PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 00:31:00,3.859,False
1586958692663585957,sensor01,PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 12:46:00,3.6,False
1586958692665354526,sensor01,PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 12:47:00,21.49625,False
1586958692665460836,sensor02,PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 00:31:00,13.319,False
1586958692667299048,sensor01,PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 12:47:00,32.48828,False
1586958692668077289,sensor02,PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 00:31:00,2.279,False
1586958692668830353,sensor01,PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 12:47:00,14.257,False
1586958692670241445,sensor01,PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 12:47:00,2.25,False
1586958692670418984,sensor02,PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 00:31:00,22.18212,False
1586958692671793549,sensor03,PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-13 03:17:00,11.8816,False
1586958692671910730,sensor01,PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 12:47:00,10.992,False
1586958692672689415,sensor02,PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 00:31:00,2.22625,False
1586958692674123722,sensor01,PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 12:47:00,21.341,False
1586958692676110198,sensor01,PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 12:47:00,5.2,False
1586958692676293386,sensor02,PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 00:31:00,20.182,False
1586958692677052014,sensor01,PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 12:47:00,13.465,False
1586958692678025707,sensor02,PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 00:32:00,6.49125,False
1586958692678757923,sensor01,PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 12:48:00,20.415,False
1586958692680279868,sensor01,PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 12:48:00,40.03836,False
1586958692680459761,sensor02,PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 00:32:00,21.76852,False
1586958692681758309,sensor03,PER_AIRMON_MESH1976150,O3,ppb,2018-12-13 03:17:00,26.933,False
1586958692681977427,sensor01,PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 12:48:00,6.419,False
1586958692682696696,sensor02,PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 00:32:00,17.286,False
1586958692683851165,sensor01,PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 12:48:00,1.8,False
1586958692685488799,sensor02,PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 00:32:00,1.36,False
1586958692685647780,sensor01,PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 12:48:00,10.408,False
1586958692687275362,sensor01,PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 12:48:00,17.947,False
1586958692688176617,sensor02,PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 00:32:00,2.12,False
1586958692689100652,sensor01,PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 12:48:00,3.97,False
1586958692691037104,sensor02,PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 00:32:00,8.314,False
1586958692691145254,sensor01,PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 12:48:00,11.599,False
1586958692691992617,sensor01,PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 12:49:00,7.5225,False
1586958692692132665,sensor03,PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-13 03:17:00,6.297,False
1586958692693506744,sensor01,PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 12:49:00,40.98024,False
1586958692693613102,sensor02,PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 00:32:00,3.41,False
1586958692695435023,sensor01,PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 12:49:00,7.031,False
1586958692695554101,sensor02,PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 00:32:00,1.64,False
1586958692696867832,sensor01,PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 12:49:00,2.84,False
